ID;AR;DE;EL;EN;ES;FI;FR;IT;JA;NL;PL;PT;RO;RU;SI;TR;UK;ZH
Cancel;إلغاء;Abbrechen;Ματαίωση;Cancel;Cancelar;Peruuta;Annuler;Annulla;キャンセル;Annuleren;Anuluj;;Anuleaza;Отменить;අවලංගු කරන්න;İptal etmek;Скасувати;取消
Close;اغلاق;Schließen;Κλείσιμο;Close;Cerrar;Sulje;Fermer;Chiudere;閉じる;Sluit;Zamknij;;Închide;Закрыть;වසන්න;Kapatmak ;Закрити;关闭
Confirm;مؤكد;Bestätigen;Επιβεβαίωση;Confirm;Confirmar;Vahvista;Confirmer;Confermare;確認;Bevestigen;Potwierdzić;;Confirma;Подтвердить;තහවුරු කරන්න;Onaylamak;Підтвердіть;确认
about-screen.header.headline;حول كورونيكا;Über Coronika;Σχετικά με τη Coronika;About Coronika;Sobre Coronika;Coronikasta;À propos de Coronika;Informazioni su Coronika;コロニカについて;Over Coronika;O Coronika;;Despre Coronika;О Коронике;කොරොනිකා තතු;Coronika hakkında;Про Короніку;关于Coronika
add-entry-screen.header.headline;إضافة إدخال;Eintrag hinzufügen;Προσθήκη καταχώρησης;Add entry;Añadir entrada;Lisää merkintä;Ajouter une entrée;Aggiungi voce;エントリを追加;Bijvoegen;Dodaj wpis;;Adaugă înregistrare;Добавить запись;ප්‍රවේශය එක් කරන්න;Giriş ekle;Додати запис;添加条目
app.share.message;لا تدع فايروس كورونا يصيبك بالهلع. إبقى على اطلاع وساعد الآخرين. دوّن كل من تواصلت معهم بكشلٍ شخصيٍ والأماكن التي زرتها. راعي تعليمات النظافة الشخصية والتعقيم واقرأ الأخبار والمعلومات فقط من مصادر موثوقة. إبق بصحة جيدة ولا تنسى غسل يديك بشكلٍ منتظم. https://coronika.app/;Lass dich durch das Coronavirus nicht in Panik versetzen. Bleib informiert und hilf deinen Mitmenschen, indem du…\n✅…ein Tagebuch über Kontakte und Orte führst\n✅…auf Hygiene Tipps achtest\n✅…Updates von seriösen Quellen im Blick behältst\nBleib gesund und vergiss nicht dir die Hände regelmäßig zu waschen! ✋😉 https://coronika.app/;Μην αφήνεις τον κορονοϊό να σου προκαλέσει πανικό. Μείνε ενημερωμένος και βοήθησε τους ανθρώπους γύρω σου…\n✅…καταγράφωντας επαφές και τοποθεσίες τις οποίες επισκέφτηκες\n✅…ακολουθώντας τις συμβουλές υγιεινής\n✅…ψάχνοντας αξιόπιστες πηγές πληροφοριών\nΜείνε υγιείς και θυμήσου να πλένεις τακτικά τα χέρια σου! ✋😉 https://coronika.app/;Don't let coronavirus tip you into panic. Stay informed and help the people around you by…\n✅…logging contacts and places you have met or stayed at\n✅…following hygiene tips\n✅…consume reputable sources of information\nStay healthy and remember to wash your hands regularly! ✋😉 https://coronika.app/;No dejes que el coronavirus te haga entrar en pánico. Mantente informado y ayuda a la gente que te rodea... \n✅... registrando los contactos y lugares que has conocido o visitado en \n✅... siguiendo los consejos de higiene... \n✅... consume fuentes de información acreditadas\n¡Mantente sano y recuerda lavarte las manos regularmente! ✋😉 https://coronika.app/;Älä anna koronaviruksen suistaa itseäsi paniikkiin. Pysy ajan tasalla ja auta ihmisiä ympärilläsi ✅ kirjaamalla, keitä olet tavannut ja missä olet käynyt, ✅ noudattamalla hygieniasuosituksia, ja ✅ hankkimalla tietosi luotettavista lähteistä. Pysy terveenä ja muista pestä kätesi säännöllisesti!✋😉 https://coronika.app/;Ne laisse pas le coronavirus te faire basculer dans la panique. Reste informé et aide ton entourage en... \n✅...enregistrant tes contacts et les endroits où vous vous êtes rencontrés ou avez séjourné \n✅...suivant des conseils d'hygiène \n✅...consommant des sources d'information fiables \nReste en bonne santé et n'oublie pas de te laver les mains régulièrement ! ✋😉 https://coronika.app/;Non lasciare che il coronavirus ti mandi nel panico. Rimani informato e aiuta le persone intorno a te... \n✅... registrando i contatti e i luoghi che avete incontrato o che avete soggiornato su \n✅...seguendo i consigli riguardo l'igiene \n✅...consuma fonti di informazione affidabili \nRimani in salute e ricordati di lavarti le mani regolarmente! ✋😉 https://coronika.app/;りコロナウィルスの影響でパニックにならないようにしましょう。最新の配信情報に注目し、…\n✅…を通じて接触した人や滞在場所を記録しましょう。…\n✅…感染情報を把握し、…\n✅…正規サイトから正しい情報を取得して、身の周りの人を助けましょう。マメに手洗いし、健康を守りましょう。 ✋😉 https://coronika.app/;Ben geduldig en raak niet in paniek. Blijf op de hoogte en help de mensen om je heen door... \n✅...biijhouden van een dagboek met contacten en locaties✅...zorg voor goede hygiënemaatregelen✅...betrouwbaar infomatie op te zoeken. Blijf gezond en vergeet niet regelmatig je handen te wassen met water en zeep! ✋😉 https://coronika.app/;Nie pozwól, by koronaawirus wprawił cię w panikę. Bądźcie informowani i pomagajcie ludziom z waszego otoczenia poprzez... \n✅...logowanie kontaktów i miejsc, które poznałeś lub w których przebywałeś \n✅...podążając za wskazówkami dotyczącymi higieny \n✅...korzystajcie z renomowanych źródeł informacji \nBądźcie zdrowi i pamiętajcie o regularnym myciu rąk! ✋😉 https://coronika.app/;;Nu lăsa coronavirus să te induca în panică. Rămâi la curent și ajută oamenii din jurul tău până la ... \n✅ ... conectarea contactelor și a locurilor pe care le-ai întâlnit sau ai rămas la \n✅ ... urmând sfaturi de igienă \n✅ ... consumă surse de informații de încredere \nRamai sănătos și nu uita să te speli pe mâini în mod regulat! ✋😉 https://coronika.app/;Не поддавйся панике из-за коронавируса. Будь в курсе и помогай окружающим... \n✅... записывая контакты и места, с которыми вы встречались или останавливались, \n✅... следуй гигиеническим советам \n✅... используй авторитетные источники информации \nОставайся здоровыми и не забывай регулярно мыть руки! ✋😉 https://coronika.app/;කිරීටක වෛරසය ඔබව කලබලයට පත් කිරීමට ඉඩ නොදෙන්න. කොරෝනා වෛරසය ගැන දැන ගැනීමට සහ අනෙක් අයටද උපකාර කිරීමට පහත පියවර අනුගමනය කරන්න…\n✅…ඔබ හමු වූ පුද්ගලයින් සහ ඔබ නැවතී සිටි ස්ථාන පිළිබඳ විස්තර ඇතුළත් කරන්න\n✅…සනීපාරක්ෂක උපදෙස් අනුගමනය කිරීම සඳහා\n✅…පිළිගත් තොරතුරු ප්‍රභවයන් භාවිතා කරන්න\nනිරෝගීව සිටින්න, නිතිපතා අත් සේදීමට මතක තබා ගන්න! ✋😉 https://coronika.app/;Coronavirüsudan dolayi paniğe kapilmana izin verme. Haberdar olmak icin ve çevrendeki insanlara yardim etmet, bunun icin sadece kontaklara ve yeri ekle. Saygin kaynak güncellemeleri toplu halde gözetle. Sağlıklı kal ve ellerini düzenli yıkamayı unutma ✋😉 https://coronika.app/;Не дозволяйте коронавірусу навести вас на паніку. Будьте в курсі та допомагайте оточуючим людям шляхом того, що … \n✅… ти ведеш щоденник контактів та місць \n✅… дотримуєшся порад з гігієни \n✅… прислухаєшся до авторитетних джерел інформації \nЗалишайтеся здоровими та не забувайте регулярно мити руки! ✋😉https://coronika.app/;不要让新冠病毒使你过度恐慌。 保持关注最新的动态，通过…\n✅…记录接触过的人和去过的地方\n✅…关注防疫提示\n✅…从正规网站获取信息 来帮助您身边的人\n保持健康，不要忘记勤洗手！ ✋😉 https://coronika.app/
dashboard-screen.first-start.hint;انقر على تاريخ اليوم لإضافة الأشخاص أو المواقع الأولى.;Klicke auf den heutigen Tag, um deine ersten Personen oder Orte einzutragen.;Κάνε κλικ στη σημερινή ημερομηνία για να εισάγεις τα πρώτα σου άτομα ή τοποθεσίες.;Click on todays date to enter your first persons or locations.;Haz clic en la fecha de hoy para introducir tus primeras personas o lugares.;Napsauta tämän päivän päivämäärää kirjataksesi ylös ensimmäiset tapaamisesi tai sijaintisi.;Cliquer sur la date d'aujourd'hui pour entrer tes premières personnes ou lieux.;Clicca sulla data di oggi per inserire le tue prime persone o località.;今日の日付をクリックして、最初の人や場所を入力します。;Klik op de datum van vandaag en voeg je eerste personen of locaties toe.;Kliknij na dzisiejszą datę, aby wprowadzić swoje pierwsze osoby lub lokalizacje.;;Faceți clic pe data de astăzi pentru a introduce primele persoane sau locații.;Нажмите на сегодняшнюю дату, чтобы ввести ваши контакты или местоположение.;ඔබගේ පළමු පුද්ගලයින් හෝ ස්ථාන ඇතුළත් කිරීමට අද දිනය තෝරන්න;İlk kişileri veya konumları girmek için bugünün tarihini tıklayın.;Клацніть на сьогоднішню дату, щоб ввести своїх перших людей або місцеположення.;点击今天的日期，添加您的第一联系人或地点。
dashboard-screen.list.load-more;تحميل المزيد;mehr laden;φόρτωσε περισσότερα;load more;carga más;lataa lisää;charger plus;carica di più;もっと読み込む;meer laden;Załaduj więcej;;incarca mai mult;Загрузи больше;තවත් පටවන්න;daha fazla yükle;завантажити ще;装载更多
day-screen.entries.add;إضافة إدخال;Eintrag hinzufügen;Προσθήκη καταχώρησης;Add entry;Añadir entrada;Lisää merkintä;Ajouter une entrée;Aggiungi voce;エントリを追加;Toevoegen;Dodaj wpis;;Adaugă înregistrare;Добавить запись;ප්‍රවේශය එක් කරන්න;Giriş ekle;Додати запис;添加条目
day-screen.header.headline;نظرة عامة يومية;Tagesübersicht;Ημερήσια επισκόπηση;Daily overview;Resumen diario;Päivittäinen yleiskatsaus;Aperçu quotidien;Panoramica giornaliera;毎日の概要;Dagelijks overzicht;Codzienny przegląd;;Prezentare zilnică;Ежедневный обзор;දෛනික දළ විශ්ලේෂණය;Günlük genel bakış;Щоденний огляд;每日总览
